ID_Expediente,TipoPrestacion,TipoRecurso,TieneSentencia,CruceISSHistorico,ResultadoValIndicios,ResultadoValNomina,ResultadoValHL,TieneDocumentosAdicionales,ExisteRegistroEmbargo,RequiereRevisionHL,UltimoEmpleadorPublico,RecibePensionActual,TienePQRSPendiente,TieneRequerimientoExterno,EstadoRequerimientoInterno,TieneTiemposNoISS,EstadoVinculacionBEPS,AsignarBancoBEPS,ClasificacionModelo,ClasificacionEsperada,ResultadoValidacion
EXP-000001,Vejez,Ninguno,No,No,No,No,Si,No,No,No,Si,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000002,Invalidez Especial,Ninguno,Si,No,Si,No,No,Si,No,No,Si,No,Si,Si,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000003,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,Si,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000004,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,Si,No,No,No,Abierto,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000005,Convenio Internacional,Reposicion,No,No,No,Si,No,No,No,No,No,No,Si,No,Cerrado,No,No aplica,No,Manual,Automatico,INCORRECTO
EXP-000006,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000007,Vejez,Apelacion,No,No,Si,No,No,Si,No,Si,No,Si,Si,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000008,Sobrevivientes,Ninguno,No,No,No,Si,No,Si,No,Si,No,No,Si,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000009,Vejez,Ninguno,No,No,No,No,No,No,No,Si,No,No,Si,Si,Cerrado,No,Vinculado,No,Mixto,Mixto,CORRECTO
EXP-000010,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000011,Sobrevivientes,Ninguno,No,No,No,No,No,No,No,No,No,No,Si,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000012,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000013,Vejez,Ninguno,No,No,No,No,Si,No,No,No,No,No,No,No,Cerrado,No,No aplica,Si,Automatico,Automatico,CORRECTO
EXP-000014,Sobrevivientes,Ninguno,No,No,Si,No,No,Si,No,No,No,Si,Si,No,Cerrado,Si,No aplica,No,Manual,Manual,CORRECTO
EXP-000015,Sustitucion,Ninguno,No,No,Si,No,No,Si,No,Si,No,Si,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000016,Vejez,Ninguno,No,No,No,No,No,No,No,Si,Si,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000017,Vejez,Apelacion,Si,Si,No,No,No,Si,Si,Si,No,No,No,No,Abierto,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000018,Sustitucion,Ninguno,No,Si,No,Si,Si,No,No,No,Si,No,No,No,Cerrado,No,No aplica,No,Manual,Automatico,INCORRECTO
EXP-000019,Invalidez Especial,Apelacion,No,No,No,No,No,No,No,No,No,No,No,Si,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000020,Sustitucion,Reposicion,No,No,Si,No,No,No,No,No,No,Si,No,No,Cerrado,No,Vinculado,No,Manual,Manual,CORRECTO
EXP-000021,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000022,Vejez,Ninguno,No,No,Si,No,No,Si,No,Si,Si,No,No,Si,Cerrado,No,Prospecto,No,Mixto,Mixto,CORRECTO
EXP-000023,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000024,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000025,Sustitucion,Ninguno,No,No,No,No,No,Si,No,Si,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000026,Vejez,Ninguno,No,No,Si,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000027,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,No,No,Si,Abierto,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000028,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000029,Invalidez Especial,Reposicion,No,No,No,No,No,Si,No,No,No,No,No,No,Cerrado,No,No aplica,No,Manual,Automatico,INCORRECTO
EXP-000030,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000031,Vejez,Ninguno,No,No,No,No,No,Si,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000032,Invalidez Especial,Reposicion,No,No,Si,Si,Si,Si,No,Si,No,No,Si,No,Cerrado,Si,No aplica,No,Manual,Manual,CORRECTO
